025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL47M39E3, P/N 13330600, ARMY TACMS.|A1427PL47
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL48P/N 13288801, GUIDED MISSILE AND LAUNCHING ASSEMBLY: FMS.|A1427PL48
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL49WGU-4E(T-2)/B (INERT), F/AIM-9M, -8, -9|A1427PL49
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL50WGU-31(T-1)/B (INERT), F/AIM-9S|A1427PL50
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL51WGU-4D(T-2)/B, (INERT), F/AIM-9M-6|A1427PL51
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL52P/N 93129420-100 WGU-46/B|A1427PL52
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL53A surface attack guided missile and tubular launcher which is expendable after missile firing. CAGE 18876. P/N 13303050-059 or 13303050-039.|A1427PL53
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL54Multi-Purpose Individual Missile/Short Range Assault Weapon (MPIM-SRAW)|A1427PL54
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PL55FIM-92F,STINGER-RMP Block 1 - Weapon Round, Partial, 0 BCUs|A1427PL55
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PL56FIM-92F,STINGER-RMP Block 1 - Weapon Round, Partial, 2 BCUs|A1427PL56
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PL57FIM-92F,STINGER-RMP Block 1 - Weapon Round, Partial, 3 BCUs|A1427PL57
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PL58FIM-92F,STINGER-RMP Block 1 - Missile Round, 0 BCUs|A1427PL58
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PL59FIM-92F,STINGER-RMP Block 1 - Missile Round, 2 BCUs|A1427PL59
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PL60FIM-92F,STINGER-RMP Block 1 - Missile Round, 3 BCUs|A1427PL60
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL61SHORT RANGE ASSAULT WEAPON (SRAW) PREDATOR MK40 MOD 0.|A1427PL61
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL62P/N 3647127-100G2 WGU-22A/B|A1427PL62
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PL63AMMO PL63 CANCELLED/REPLACED BY AMMO WF33 INC 61587, ON 011200 P/N 13506000; Includes four Patriot Missiles; Explosive weight: 14,040 lbs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |C1427PL63
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL64APN 13303050-049; Model Number FGM-148C; JAVELIN|A1427PL64
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL65Guided Missile and Launching Assembly, Surface Attack: M48, CAGE: 18876, P/N: 1333001, Army TACMS Unitary GMLA.|A1427PL65
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL66f/sparrow tactical rim-7p(blkII). w/p381 software.|A1427PL66
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL67f/sparrow tactical rim-7p(blkII) vl. w/p381 software.|A1427PL67
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL68f/sparrow tactical rim-7p(blkII)vl,fft. w/p381 software.|A1427PL68
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PL69f/sparrow tactical rim-7p(blkII) fft.  w/p381 software.|A1427PL69
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PL70M39A1, P/N 13294080, CAGE 18876, warhead is welded (FMS).|A1427PL70
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL71P/N 13480331; CAGE 18876; FMS|A1427PL71
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PL72XM91E1; P/N 13506000-2; CAGE 18876|A1427PL72
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PL73XM52; Army TACMS Block II (with TIVA BATs); P/N 13331600-201|A1427PL73
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PL74XM52; Army TACMS Block II (with TIVA BATs); P/N 13331600-203|A1427PL74
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PL75XM52; Army TACMS Block II (with TIVA BATs); P/N 13331600-301|A1427PL75
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PL76XM52; Army TACMS Block II (with TIVA BATs); P/N 13331600-303|A1427PL76
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL77APN 13480397; Stinger Missile System FIM-92H|A1427PL77
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL78APN 13480395; Stinger Missile System|A1427PL78
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL79Surface Attack Guided Missile and a Tubular Launcher|A1427PL79
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL80APN 5422780 Dragon|A1427PL80
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PL81AMMO PL81 REINSTATED ON 053001; APN 13288001, or 13288685, or 13288692; Army TACMS|A1427PL81
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PL82M39E1, 18876 P/N 1336600, Army TACMS|A1427PL82
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL83APN 13265744 Stinger|A1427PL83
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL84APN 13265743 Stinger|A1427PL84
033GUIDED MISSILE SUBSYSTEM,PRACTICE1427-PL85AMMO PL85 REINSTATED ON 020300XM32 Stinger|A1427PL85
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL86APN 13265736 or APN 13445838, Stinger|A1427PL86
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL87APN 13265738 or APN 13445837, Stinger|A1427PL87
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL88APN 13265739, Stinger|A1427PL88
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL89APN 13265740, Stinger|A1427PL89
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL90X FIM-92A, Stinger|A1427PL90
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL91XFIM-92B, Stinger|A1427PL91
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL92FIM-92B, Stinger|A1427PL92
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL93AP/N 13056968, Stinger|A1427PL93
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL94FIM-92C Stinger|A1427PL94
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL953 BCU, Stinger|A1427PL95
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL96APN 13012705, XFIM-92C, f/Stinger|A1427PL96
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL97APN 13265733, FIM-92C Stinger|A1427PL97
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL98AIM-9, P/N 8946876|A1427PL98
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PL99GMIA-FIM-92H/FMS EGYPT|A1427PL99
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMA0XM91E3; APN: 13604000-2; CAGE: 18876.|A1427PMA0
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMA1XM91E4; APN: 13604000-5; CAGE: 18876.|A1427PMA1
036GUIDED MISSILE AND LAUNCHER,PRACTICE1427-PMA2Stinger, Made from FIM-92D, P/N: 13480476, CAGE: 18876.|A1427PMA2
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMA3GUIDED MISSILE AND LAUNCHING ASSEMBLY; P/N: 13329930; CAGE: 18876; FMS.|A1427PMA3
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMA4GUIDED MISSILE AND LAUNCHING ASSEMBLY; P/N: 13329900; CAGE: 18876; FMS.|A1427PMA4
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PMA5P/N 2223700-101; WGU-46/B; IMPROVED GUIDANCE TRACKER SYSTEM; F/ AGM-65 MISSILE.|A1427PMA5
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMA6XM401; Terminal High Altitude Aerial Defense (THAAD); PN: 13551475-101; CAGE: 18876|A1427PMA6
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMA7M91-A5; P/N 13506000-01|A1427PMA7
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMA8M91-A6; P/N 13506000-21|A1427PMA8
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMA9P/N: 13666294, Missile Container with a Guided Missile, MIM-401, THAAD Missile.|A1427PMA9
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PMB0WGU-60/B G&C Section; Provides sensing and signal processing for target acquisition and tracking; P/N: 2299100-100; CAGE: 15090|A1427PMB0
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PMB1GUIDANCE AND CONTROL SECTION,GUIDED MISSILE,MK35 MOD-0,FOR RAM BLK-II.  Part Number: 8286906; CAGE: 53711|A1427PMB1
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMB2GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL; MIM-401B (Missile Round with Canister) Terminal High Altitude Area Defense (THAAD); P/N: 13551475-102; CAGE: 18876; NSN Assigned:1427-01-601-1378 without container, NSN 1427-01-603-7484 with container.|A1427PMB2
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMB3GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK; BAHRAIN'S ATACMS UNITARY GUIDED MISSILE AND LAUNCHING ASSEMBLY (GMLA); P/N: 13332250-012; CAGE: 18876|A1427PMB3
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMB4p/n 13645685-101 cage 18876 Terminal High Altitude Area Defense (THAAD); with Thermal Initiated Venting System (TIVS).  MIM-401C|A1427PMB4
044GUIDED MISSILE AND LAUNCHER,INTERCEPT-AERIAL1427-PMB5CAGE 18876  P/N 13684820 Giuded Missile and Launcher, Intercept-Aerial: Switchblabe, All Up Round Model: XM814|A1427PMB5
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMB6CAGE 18876  P/N 13604000-6  Model Number: M91A7|A1427PMB6
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMB7CAGE 18876  P/N 14101310  Shipping Configuration Two-Pack Munitions|A1427PMB7
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PMB8CAGE 09205  P/N 156062 and CAGE 98752 with P/N's 154528-2 & 155028 for AIM-9-P5 GCU's|A1427PMB8
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMB9CAGE 18876  P/N 13604000-8  Model Number M91A9|A1427PMB9
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMC0CAGE 18876  P/N 13604000-7  Model M91A8|A1427PMC0
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMC1CAGE 18876  P/N 13622260  Javelin Missile|A1427PMC1
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMC2CAGE 18876  P/N 13604000-201    Model Number: M91A12|A1427PMC2
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMC3CAGE 18876  P/N 13604000-601   Model Number: M91A15|A1427PMC3
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMC4CAGE 18876  P/N 13506000-201    Model Number: M91A11|A1427PMC4
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMC5CAGE 18876  P/N 13604000-501   Model Number: M91A14|A1427PMC5
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMC6CAGE 18876  P/N 13506000-011   Model Number: M91A10|A1427PMC6
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMC7CAGE 18876  P/N 13604000-401   Model Number: M91A13|A1427PMC7
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PMC8CAGE 18876, PART NUMBER 13332290, TYPE M57E1|A1427PMC8
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PMC9CAGE 53711  P/N 8286906-2     MK35 MOD 1,FOR RAM BLK-II|A1427PMC9
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PMD0CAGE 15090 P/N 2306192-2   WGU-64/B|A1427PMD0
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMD1CAGE 53711  P/N 8240400   MK 29|A1427PMD1
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMD2CAGE 18876  P/N 13604000-41|A1427PMD2
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMD3CAGE 18876  P/N 13604000-42|A1427PMD3
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMD4CAGE 18876  P/N 13480506  Model FIM-92J Stinger Missile System|A1427PMD4
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PMD5CAGE 18876 P/N 13329930-136 GUIDED MISSILE AND LAUNCHING ASSEMBLY|A1427PMD5
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMD6CAGE 18876  P/N 13480540  Model FIM-92J|A1427PMD6
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMD7CAGE 18876  P/N 13480540-1     Model FIM-92J|A1427PMD7
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMD8CAGE 18876  P/N 13480540-2     Model FIM-92J|A1427PMD8
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMD9CAGE 18876  P/N 13480540-3     Model FIM-92J|A1427PMD9
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME0CAGE 18876  P/N 13480540-5     Model FIM-92J|A1427PME0
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME1CAGE 18876  P/N 13480540-6     Model FIM-92J|A1427PME1
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME2CAGE 18876  P/N 13480541       Model FIM-92K|A1427PME2
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME3CAGE 18876  P/N 13480541-1     Model FIM-92K|A1427PME3
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME4CAGE 18876  P/N 13480541-2     FIM-92K|A1427PME4
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME5CAGE 18876  P/N 13480541-3     Model FIM-92K|A1427PME5
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME6CAGE 18876  P/N 13480541-5     FIM-92K|A1427PME6
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME7CAGE 18876  P/N 13480541-6     FIM-92K|A1427PME7
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME8CAGE 18876  P/N 13480542 GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIA MODEL FIM-92J|A1427PME8
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PME9CAGE 18876  P/N 13480542-2 GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL MODEL FIM-92J|A1427PME9
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF0CAGE 18876  P/N 13480542-3 GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL MODEL FIM-92J|A1427PMF0
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF1CAGE 18876  P/N 13480543 GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIA MODEL FIM-92K|A1427PMF1
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF2CAGE 18876  P/N 13480543-2 GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIA MODEL FIM-92K|A1427PMF2
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF4CAGE 18876  P/N 13480543-3 GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIA MODEL FIM-92K|A1427PMF4
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF5CAGE 18876  P/N 13480542-1      Model: FIM-92J|A1427PMF5
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF6CAGE 18876  P/N 13480543-1      Model: FIM-92K|A1427PMF6
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF7CAGE 18876  P/N 13732649        FIM-92K|A1427PMF7
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PMF8CAGE 18876  P/N 13732647        FIM-92K|A1427PMF8
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMF9CAGE 18876  P/N 13534700 Extended Range-GMLRS(ERG) Unitary Rocket Pod,XM404|A1427PMF9
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMG0CAGE 18876  P/N 13534705  EXTENDED RANGE-GMLRS(ERG) UNITARY ROCKET POD,XM403|A1427PMG0
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMG1CAGE 18876 P/N 13329930-131      Army TACMS|A1427PMG1
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PMG2CAGE 18876 P/N BB200000D9-E637|A1427PMG2
054GUIDED MISSILE AND LAUNCHING ASSEMBLY,INTERCEPT-AERIAL1427-PMG3CAGE 18876 P/N BB100000B9-E637|A1427PMG3
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMG4CAGE 18876 P/N 13604000-9|A1427PMG4
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMG5CAGE 18876  P/N 13329930-163  GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK|A1427PMG5
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PMG6CAGE 18876 P/N 13604000-10|A1427PMG6
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMG7CAGE 60107 P/N 89056-006        Switchblade System Model SB 600|A1427PMG7
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PMG8CAGE 60107 P/N 89056-001       SwitchBlade 600|A1427PMG8
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PMG9MISSILE ASSEMBLY AND LAUNCH POD MISSILE CONTAINER: CAGE 18876 P/N 13774977 PRECISION STRIKE MISSILE (PRSM) AND LAUNCHING ASSEMBLY|A1427PMG9
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PMH0CAGE 53711 P/N 8726247-1        GCG, MK 35 Mod 3|A1427PMH0
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM01MK1 Mods 9, 10, 11, 12 and 13, f/AIM-9B|A1427PM01
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM02MK1 Mods 14 and 15, f/AIM-9B|A1427PM02
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM04MK18 Mods 0 and 1, w/o TDD, f/AIM-9D|A1427PM04
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM07MK18 Mod 2, w/o TDD, f/SEAM/AIM-9G|A1427PM07
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM08MK18 Mod 2, w/TDD, MK15, f/Seam/AIM-9G|A1427PM08
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM11P/N: V41200010; CAGE: 10001|A1427PM11
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM13Complete, Serial NO. R3455 and Subsequent, f/AIM-7D|A1427PM13
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM14w/o Antenna, Wings and Fins, Serial NO. R-3455 and Subsequent, f/AIM-7D|A1427PM14
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM15Complete, Serial NO. R-001-B and Subsequent, f/AIM-7E|A1427PM15
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM16w/o Antenna, Wings and Fins, Serial NO. R-001-B and Subsequent, f/AIM-7E|A1427PM16
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM17Complete, w/ECP-54, f/AIM-7E|A1427PM17
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM18w/ECP-54, w/o Antenna, Wings and Fins, f/AIM-7E|A1427PM18
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM20MK18 Mod 3, f/AIM-9H|A1427PM20
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM26w/Antenna, Wings and Fins, f/AIM-7E-3|A1427PM26
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM27w/o Antenna, Wings and Fins, f/AIM-7E-3|A1427PM27
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM28MK18 Mod 4, w/o TDD, f/AIM-9H|A1427PM28
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM30w/Antenna, Wings and Fins, f/AIM-7E-4|A1427PM30
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM31w/o Antenna, Wings and Fins, f/AIM-7E-4|A1427PM31
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM32AN/SPN-72A, f/RIM-7E-5, BPDSMS|A1427PM32
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM33AN/DPN-72A, f/RIM-7H-5, NATO IPDSMS|A1427PM33
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM34MK18 Mod 4, w/TDD, MK15 and Mods, f/AIM-9H|A1427PM34
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM36w/AN/DSQ-31-31A-31B, w/Antenna, f/AIM-7F-4|A1427PM36
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM37w/AN/DSQ-35, w/Antenna, f/AIM-7F-4|A1427PM37
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM38w/AN/DSQ-35A, w/Antenna, f/AIM-7F-5|A1427PM38
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM39w/AN/DSQ-35B, w/Antenna, f/AIM-7F-5|A1427PM39
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM40w/AN/DSQ-35C, f/AIM-7F-6|A1427PM40
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PM41FIM-92G,STINGER-RMP,Platform Launch,Missile Round|A1427PM41
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM42w/AN/DSQ-35D, Complete, f/AIM-7F-7|A1427PM42
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM43w/AN/DSQ-35D, f/AIM-7F, w/o Wings and Fins|C1427PM43
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM44w/AN/DSQ-34C, F/AIM-7F-6, w/o Wings and Fins.|C1427PM44
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM45w/AN/DSQ-35A, f/AIM-7F, w/o Wings and Fins|A1427PM45
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM46w/AN/DSQ-35E, w/Wings and Fins, f/AIM-7F-8|A1427PM46
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM47w/AN/DSQ-35E, w/o Wings and Fins, f/AIM-7F|C1427PM47
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM48AN/DSQ-35F, Complete, w/Wings and Fins, f/AIM-7F-9|A1427PM48
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM49AN/DSQ-35F, Complete, w/o Wings and Fins|C1427PM49
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM50AN/DSQ-35G, Complete, w/Wings and Fins, f/AIM-75-10|A1427PM50
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM51AN/DSQ-35G, Complete, w/o Wings and Fins, f/AIM-75-10|C1427PM51
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM52AN/DSQ-35H (POP), Complete, w/o Wings and Fins, f/AIM-7F-11|A1427PM52
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM53AN/DSQ-35H (POP), Complete, w/Wings and Fins, f/AIM-7F-11|A1427PM53
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM55WGU-4A/B, f/AIM-9M|A1427PM55
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM56w/o Wings and Fins, Ford Aerospace and Communications Corp. P/N 126147-5, f/AIM-9P|A1427PM56
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM57w/o Wings and Fins, Ford Aerospace and Communications Corp P/N 126147-6, f/AIM-9P|A1427PM57
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM59f/AIM-7M (H Build) , w/o Wings and Fins, NAVAIR DWGs 917AS10130-1 and 917AS10200-1|A1427PM59
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM60f/AIM-7M (H Build), w/Wings and Fins, NAVAIR DWGs 917AS10130-1 and 917AS10200-1|A1427PM60
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM61f/RIM-7M (H Build), w/o Wings and Fins, NAVAIR DWGs 917AS10130-2 and 917AS10200-2|A1427PM61
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM62Rockwell P/N R023100-191|A1427PM62
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM63w/WGU-23A/B Guidance Section and WCU-15A/B Control Section, w/o Wings and Fins, f/Sparrow Missile VL/RIM-7M|A1427PM63
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM64WGU-9/B|A1427PM64
